Algorithm,ArrayType,Size,AvgTime(us),AvgComparisons,Iterations
StringQuickSort,Prefix,1000,181.204,61914,5
StringMergeSort,Prefix,1000,1478.29,467488,5
MSDRadixSort,Prefix,1000,1445.15,0,5
MSDRadixSort+QS,Prefix,1000,1359.78,3632,5
QuickSort,Random,1100,103.49,15658,5
MergeSort,Random,1100,746.081,13038,5
QuickSort,Reverse,1100,63.6662,14522,5
MergeSort,Reverse,1100,665.794,8768,5
QuickSort,NearlySorted,1100,68.9576,15796,5
MergeSort,NearlySorted,1100,683.232,13072,5
QuickSort,Prefix,1100,313.307,668204,5
MergeSort,Prefix,1100,883.716,499108,5
StringQuickSort,Random,1100,101.899,11967,5
StringMergeSort,Random,1100,853.516,21027,5
MSDRadixSort,Random,1100,272.092,0,5
MSDRadixSort+QS,Random,1100,137.048,4186,5
StringQuickSort,Reverse,1100,62.199,9593,5
StringMergeSort,Reverse,1100,794.604,23966,5
MSDRadixSort,Reverse,1100,334.957,0,5
MSDRadixSort+QS,Reverse,1100,120.904,4824,5
StringQuickSort,NearlySorted,1100,73.1396,11004,5
StringMergeSort,NearlySorted,1100,806.246,23667,5
MSDRadixSort,NearlySorted,1100,319.146,0,5
MSDRadixSort+QS,NearlySorted,1100,125.315,4630,5
StringQuickSort,Prefix,1100,196.42,67180,5
StringMergeSort,Prefix,1100,1677.44,523603,5
MSDRadixSort,Prefix,1100,1597.79,0,5
MSDRadixSort+QS,Prefix,1100,1479.47,4171,5
QuickSort,Random,1200,128.159,18283,5
MergeSort,Random,1200,832.957,14565,5
QuickSort,Reverse,1200,68.6792,15830,5
MergeSort,Reverse,1200,741.723,9483,5
QuickSort,NearlySorted,1200,72.186,16910,5
MergeSort,NearlySorted,1200,760.832,14441,5
QuickSort,Prefix,1200,356.148,758478,5
MergeSort,Prefix,1200,1001.81,553264,5
StringQuickSort,Random,1200,114.957,13873,5
StringMergeSort,Random,1200,931.595,23455,5
MSDRadixSort,Random,1200,288.433,0,5
MSDRadixSort+QS,Random,1200,145.003,4566,5
StringQuickSort,Reverse,1200,65.5936,10535,5
StringMergeSort,Reverse,1200,845.833,26393,5
MSDRadixSort,Reverse,1200,356.631,0,5
MSDRadixSort+QS,Reverse,1200,134.896,5231,5
StringQuickSort,NearlySorted,1200,80.379,11311,5
StringMergeSort,NearlySorted,1200,877.308,26340,5
MSDRadixSort,NearlySorted,1200,349.792,0,5
MSDRadixSort+QS,NearlySorted,1200,137.469,5106,5
StringQuickSort,Prefix,1200,219.643,74179,5
StringMergeSort,Prefix,1200,1864.31,581000,5
MSDRadixSort,Prefix,1200,1776.62,0,5
MSDRadixSort+QS,Prefix,1200,1672.45,4664,5
QuickSort,Random,1300,125.737,18236,5
MergeSort,Random,1300,923.313,16103,5
QuickSort,Reverse,1300,76.8502,17541,5
MergeSort,Reverse,1300,858.629,10430,5
QuickSort,NearlySorted,1300,84.6852,19367,5
MergeSort,NearlySorted,1300,825.135,16154,5
QuickSort,Prefix,1300,342.811,709491,5
MergeSort,Prefix,1300,1102.34,605615,5
StringQuickSort,Random,1300,124.479,14678,5
StringMergeSort,Random,1300,1053.17,25876,5
MSDRadixSort,Random,1300,348.522,0,5
MSDRadixSort+QS,Random,1300,175.261,5356,5
StringQuickSort,Reverse,1300,70.4004,11505,5
StringMergeSort,Reverse,1300,996.347,29046,5
MSDRadixSort,Reverse,1300,402.864,0,5
MSDRadixSort+QS,Reverse,1300,143.758,5687,5
StringQuickSort,NearlySorted,1300,83.8414,11937,5
StringMergeSort,NearlySorted,1300,949.963,29058,5
MSDRadixSort,NearlySorted,1300,384.44,0,5
MSDRadixSort+QS,NearlySorted,1300,154.831,5605,5
StringQuickSort,Prefix,1300,231.635,78245,5
StringMergeSort,Prefix,1300,2019.31,638397,5
MSDRadixSort,Prefix,1300,1909.53,0,5
MSDRadixSort+QS,Prefix,1300,1778.76,5188,5
QuickSort,Random,1400,145.704,21946,5
MergeSort,Random,1400,995.792,17642,5
QuickSort,Reverse,1400,82.6212,18923,5
MergeSort,Reverse,1400,880.791,11197,5
QuickSort,NearlySorted,1400,90.5498,20395,5
MergeSort,NearlySorted,1400,900.109,17553,5
QuickSort,Prefix,1400,404.238,872278,5
MergeSort,Prefix,1400,1177.59,662595,5
StringQuickSort,Random,1400,130.967,14835,5
StringMergeSort,Random,1400,1120.76,28339,5
MSDRadixSort,Random,1400,351.275,0,5
MSDRadixSort+QS,Random,1400,174.59,5808,5
StringQuickSort,Reverse,1400,79.1628,12559,5
